Title,Artist,Album Art
In The Air Tonight - 2015 Remastered,Phil Collins,https://i.scdn.co/image/df7cc3041e8f4212420ae9228dbcd70e6c9ecb92
Grace Got You,MercyMe,https://i.scdn.co/image/d15c191b090ae609216f7689a4d43bd9d9c02dba
Another One Bites The Dust - Remastered 2011,Queen,https://i.scdn.co/image/f06d523c99007852e102967846374a0ed91c04c7
Walking Like Giants,Stars Go Dim,https://i.scdn.co/image/5d0a623a8eade12f1cc912d5cafa1be849542a0b
Stronger (What Doesn't Kill You),Kelly Clarkson,https://i.scdn.co/image/a738528b13a030a0c0c6a4414aa5a8f84b8e095e
Back In Black,AC/DC,https://i.scdn.co/image/52d83377fe9d7fc838deeb859499f3973adf903f
Welcome To The Jungle,Guns N' Roses,https://i.scdn.co/image/0fbe3c2ba5d231d626a60976b7f03d21526376f5
Warrior,Hannah Kerr,https://i.scdn.co/image/cfaed979b38ee508875b9d1c7b2007bfc48d4b52
For Those About to Rock (We Salute You),AC/DC,https://i.scdn.co/image/3b1f17f0694f9c3ddc8e126582123ea8a3f384d1
Dream On,Aerosmith,https://i.scdn.co/image/67272b180000fe6b4992ee8b42b62d20517bd97e
My Hero,Foo Fighters,https://i.scdn.co/image/82ea041a0c8761445299da55e506995ca1697c29
Sweet Home Alabama,Lynyrd Skynyrd,https://i.scdn.co/image/ba312628ea62e5f0acc9d877ef82d9b90c386ee6
The Warrior,Scandal,https://i.scdn.co/image/e8b6ed01e8ac9aa279a13657021dd9ea0752ae56
Girl On Fire,Alicia Keys,https://i.scdn.co/image/882c2bcde9359872dfb0309db31554de10766023
When The Curtain Falls,Greta Van Fleet,https://i.scdn.co/image/70f233147a60ae5da13c02ec10ddb137ff0c7eb2
Carry On,fun.,https://i.scdn.co/image/45aa3c0ca065d0eebe79193cc6f9753b3d415e9f
Immigrant Song - Remaster,Led Zeppelin,https://i.scdn.co/image/e6e513e68c4eefdfc7bc213b35061c9c30b42dfa
Baby I'm a Star,Prince,https://i.scdn.co/image/b06f26ee223372607bf0be8188cf94ffe0704bd6
Tom Sawyer,Rush,https://i.scdn.co/image/2a7377f7b48e73731e87bd62c4c7c17a82d453d0
